Causes,Sum,Probablity
Bankruptcy or Sudden change in Economic,32755,0.002502594
Bankruptcy or Sudden change in Economic Status,2655,0.000202851
Cancellation/Non-Settlement of Marriage,11296,0.000863053
Cancer,9058,0.000692062
Causes Not known,237069,0.018112879
Death of Dear Person,10321,0.00078856
Divorce,4133,0.000315775
Dowry Dispute,31970,0.002442617
Drug Abuse/Addiction,30046,0.002295617
Failure in Examination,27005,0.002063274
Fall in Social Reputation,13464,0.001028695
Family Problems,341952,0.026126297
Ideological Causes/Hero Worshipping,2118,0.000161822
Illegitimate Pregnancy,2494,0.00019055
Illness (Aids/STD),8723,0.000666467
Insanity/Mental Illness,94229,0.007199416
Love Affairs,45039,0.003441133
Not having Children (Barrenness/Impotency,766,5.8525E-05
Not having Children(Barrenness/Impotency,7822,0.000597627
Other Causes (Please Specity),216050,0.016506956
Other Prolonged Illness,194565,0.014865428
Paralysis,7286,0.000556675
Physical Abuse (Rape/Incest Etc.),3992,0.000305002
Poverty,32684,0.002497169
Professional/Career Problem,12554,0.000959168
Property Dispute,18652,0.001425076
Suspected/Illicit Relation,14911,0.001139251
Unemployment,27365,0.002090779
Education_Status,4367793,0.333714255
Diploma,42459,0.003244012
Graduate,93822,0.00716832
Hr. Secondary/Intermediate/Pre-Universit,356724,0.027254928
Matriculate/Secondary,769698,0.058807548
Middle,1028913,0.078612456
No Education,965271,0.073749991
Post Graduate and Above,22425,0.001713346
Primary,1088481,0.083163654
Means_adopted,1455931,0.111238085
By coming under running vehicles/trains,45299,0.003460998
By Consuming Insecticides,275501,0.021049214
By Consuming Other Poison,231178,0.017662786
By Drowning,96711,0.00738905
By Fire/Self Immolation,128006,0.009780094
By Fire-Arms,6294,0.000480883
By Hanging,460955,0.035218531
By Jumping from (Building),7871,0.000601371
By Jumping from (Other sites),8127,0.00062093
By Jumping off Moving Vehicles/Trains,8116,0.00062009
By Machine,1661,0.000126906
By Other means,9238,0.000705815
By Other means (please specify),135132,0.010324545
By Over Alcoholism,15973,0.001220392
By Overdose of sleeping pills,9960,0.000760978
By Self Infliction of injury,5093,0.000389123
By touching electric wires,10816,0.000826379
